date,iso_a3,currency_code,country,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
05/01/06,URY,UYU,Uruguay,42.28,23.925,1.767189133,-0.42994,-0.53087,-0.51557,-0.20756,0.35081,,,,,,,
05/01/06,USA,USD,United States,3.1,1,3.1,0,-0.17705,-0.15021,0.3901,1.36958,,,,,,,
05/01/06,VEN,VEF,Venezuela,5701.25,2519.58,2.262777923,-0.27007,-0.3993,-0.37972,0.01467,0.72962,,,,,,,
05/01/06,ZAF,ZAR,South Africa,13.95,6.597,2.114597544,-0.31787,-0.43864,-0.42034,-0.05177,0.61636,,,,,,,
01/01/07,ARE,AED,UAE,10,3.6726,2.722866634,-0.15439,-0.28519,-0.28976,0.18236,0.9244,,,,,,,
01/01/07,ARG,ARS,Argentina,8.25,3.08875,2.670983408,-0.1705,-0.29881,-0.30329,0.15983,0.88773,,,,,,,
01/01/07,AUS,AUD,Australia,3.45,1.266865,2.723257806,-0.15427,-0.28509,-0.28966,0.18253,0.92467,,,,,,,
01/01/07,BRA,BRL,Brazil,6.4,2.1335,2.999765643,-0.0684,-0.2125,-0.21753,0.30259,1.1201,,,,,,,
01/01/07,CAN,CAD,Canada,3.63,1.17485,3.089756139,-0.04045,-0.18887,-0.19406,0.34167,1.1837,,,,,,,
01/01/07,CHE,CHF,Switzerland,6.3,1.2485,5.046055266,0.5671,0.3247,0.31623,1.19116,2.56632,,,,,,,
01/01/07,CHL,CLP,Chile,1670,540.15,3.091733778,-0.03983,-0.18835,-0.19354,0.34253,1.1851,,,,,,,
01/01/07,CHN,CNY,China,11,7.7743,1.414918385,-0.56058,-0.62855,-0.63093,-0.3856,0,,,,,,,
01/01/07,COL,COP,Colombia,6900,2239.325,3.081285655,-0.04308,-0.1911,-0.19627,0.33799,1.17771,,,,,,,
